Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
exhilarate,"기분을 북돋우다, 활기를 띠게 하다","To make someone feel very happy, animated, or elated",The breathtaking view of the mountains exhilarated her.,산의 숨 막히는 경치가 그녀를 활기차게 했다.,"thrill, excite, elate","depress, sadden, discourage",Moderate relevance,Low relevance
exhort,"강력히 권하다, 촉구하다",to strongly encourage or urge someone to do something,The teacher exhorted her students to study harder for the upcoming exams.,선생님은 다가오는 시험을 위해 학생들에게 더 열심히 공부하라고 강력히 촉구했다.,"urge, encourage, advocate","deter, discourage, disapprove",7,6
exile,"추방, 유배 또는 본국에서 쫓겨난 상태","The state of being barred from one's native country, typically for political or punitive reasons","After the revolution, the king lived in exile for the rest of his life.","혁명 이후, 왕은 남은 생을 망명 상태로 살았다.","banishment, expulsion, deportation","return, homecoming, repatriation","Medium relevance for vocabulary sections, especially in social and political topics.",Low relevance; rarely appears in business or quantitative contexts.
exonerate,"무죄임을 밝혀 주다, 혐의를 풀어주다",to clear someone from blame or accusation; to prove that someone is not guilty of a crime or wrongdoing,The evidence presented in court served to exonerate him from any wrongdoing.,법정에 제출된 증거는 그가 어떤 잘못도 저지르지 않았음을 입증하는 데 도움이 되었다.,"absolve, acquit, vindicate","accuse, blame, convict",Medium,Medium
exorbitant,가격이나 요구 등이 터무니없이 높은,"unreasonably high or excessive, especially in price or cost",The hotel charged an exorbitant amount for a simple room.,그 호텔은 단순한 방에 터무니없이 높은 금액을 청구했다.,"excessive, outrageous, unreasonable","reasonable, moderate, affordable",7,6
exoskeleton,외골격; 동물의 몸을 보호하고 지탱하는 외부 구조,"A rigid external covering for the body in some animals, providing support and protection.",The crab's exoskeleton provides it with protection against predators.,게의 외골격은 포식자로부터 그것을 보호해줍니다.,"shell, armor, carapace",,Moderate relevance for topics related to biology and technology,Low relevance; rarely used in business contexts
exothermic,화학 반응에서 열을 방출하는 성질,A type of chemical reaction that releases heat to its surroundings,Combustion is an exothermic reaction that releases energy in the form of heat.,연소는 열 형태로 에너지를 방출하는 발열 반응입니다.,"heat-releasing, exergonic","endothermic, heat-absorbing",Medium relevance for academic chemistry topics,Low relevance unless connected to specific scientific contexts
exotic,이국적이고 색다른,originating in or characteristic of a distant foreign country; unusual or strikingly different,The restaurant serves exotic dishes from around the world.,그 레스토랑은 전 세계의 이국적인 요리를 제공합니다.,"foreign, unusual, unique","ordinary, common, familiar",High relevance in vocabulary section,Moderate relevance in verbal reasoning section
expedition,"탐험, 원정","A journey undertaken for a specific purpose, especially exploration or research.",The team embarked on an expedition to the Arctic to study climate change.,팀은 기후 변화를 연구하기 위해 북극으로 원정을 떠났다.,"journey, voyage, exploration",,High,Medium
expertise,전문적 지식이나 기술,specialized knowledge or skill in a particular field,The surgeon's expertise in complex procedures saved the patient's life.,그 외과 의사의 복잡한 절차에 대한 전문성은 환자의 생명을 구했다.,"skill, proficiency, competence","ignorance, incompetence, ineptitude",High relevance for academic and professional contexts,Moderate relevance for business and analytical contexts
explode,"폭발하다, 급격히 증가하다, 터지다",To burst violently or suddenly; to increase rapidly or erupt.,"The fireworks exploded in the night sky, leaving a trail of colors.",폭죽이 밤하늘에서 터지며 색깔의 흔적을 남겼다.,"burst, detonate, erupt","implode, collapse",High relevance in describing sudden events or phenomena.,Moderate relevance in analytical writing or business scenarios.
exploit,"착취하다, 이용하다; 공적, 업적",To use something or someone unfairly for one's own advantage; a notable achievement or deed,The company exploited its workers by paying them unfairly.,그 회사는 노동자들에게 부당한 급여를 지급함으로써 착취했다.,"utilize, take advantage of, capitalize on","respect, support, protect",High relevance in reading and writing sections,Moderate relevance in critical reasoning and verbal sections
explore,"탐구하다, 조사하다, 탐험하다",To travel through or investigate a place or subject to discover new information.,Scientists explore the depths of the ocean to learn more about marine life.,과학자들은 해양 생물에 대해 더 많이 알기 위해 바다의 깊은 곳을 탐구합니다.,"investigate, examine, search, probe","ignore, overlook, neglect",High relevance for academic contexts involving research and discovery.,Moderate relevance for analytical and problem-solving contexts.
exposure,"노출, 드러냄, 또는 접촉","The state of being exposed to something, revealing or uncovering.",The exposure to sunlight can benefit your health.,햇빛에 노출되는 것은 건강에 도움이 될 수 있다.,"revelation, disclosure, contact","concealment, protection, shelter","Highly relevant in topics related to environment, health, and media.",Useful in reading comprehension and analytical writing sections.
exquisite,매우 아름답고 정교하거나 훌륭한,Extremely beautiful and delicate; exceptionally fine or admirable.,The artisan crafted an exquisite vase that left everyone in awe.,장인은 모두를 놀라게 한 정교하고 아름다운 꽃병을 만들었다.,"beautiful, delicate, elegant, refined, fine","crude, coarse, ordinary, rough",High relevance for describing objects or feelings in writing and speaking tests.,Moderate relevance for analytical writing and descriptive contexts.
extant,"현존하는, 지금도 존재하는",still in existence; surviving,Many extant manuscripts from the medieval period provide insights into the era.,중세 시대의 많은 현존하는 필사본들은 그 시대에 대한 통찰력을 제공한다.,"existing, surviving, remaining","extinct, lost",Moderate relevance for vocabulary in reading and writing sections,Low relevance; occasionally used in reading comprehension
